,Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11493,16687,12285899,JE132524,2/4/2021 15:00,079XX S DOBSON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,False,False,624,6,8.0,44,14,1184600.0,1852604.0,2021,2/11/2021 15:47,41.75070845,-87.5991061,"(41.750708453, -87.599106098)"
3945,5941,12268900,JE112049,1/13/2021 22:20,004XX W ST JAMES PL,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1935,19,43.0,7,14,1172832.0,1917226.0,2021,1/20/2021 15:53,41.92830417,-87.64031875,"(41.928304173, -87.640318747)"
19907,28812,12310302,JE163071,2/22/2021 22:00,024XX N SEMINARY AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,APARTMENT,False,False,1932,19,43.0,7,11,1168549.0,1916591.0,2021,3/10/2021 15:46,41.92665561,-87.65607558,"(41.926655614, -87.656075577)"
12021,17478,12288333,JE135589,2/7/2021 23:46,024XX W BRYN MAWR AVE,560,ASSAULT,SIMPLE,APARTMENT,True,True,2011,20,40.0,4,08A,1158840.0,1937108.0,2021,2/14/2021 15:47,41.98316033,-87.69118686,"(41.983160328, -87.691186855)"
25859,37572,12322021,JE177185,3/21/2021 17:00,080XX S KOSTNER AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,SCHOOL - PUBLIC GROUNDS,False,False,834,8,18.0,70,14,1148467.0,1851031.0,2021,3/28/2021 16:57,41.74716171,-87.73155603,"(41.747161712, -87.731556033)"
33566,48894,12339053,JE197911,4/12/2021 21:00,010XX N KARLOV AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER (SPECIFY),False,False,1111,11,37.0,23,11,1148861.0,1906687.0,2021,4/19/2021 17:20,41.89988201,-87.72867703,"(41.899882008, -87.728677033)"
12804,18624,12291669,JE139935,2/12/2021 15:49,026XX W HURON ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1221,12,26.0,24,11,1158758.0,1904566.0,2021,2/19/2021 15:48,41.89386464,-87.69238328,"(41.893864635, -87.692383275)"
22028,32004,12314411,JE167959,3/4/2021 8:00,123XX S LOWE AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,APARTMENT,False,False,523,5,34.0,53,11,1174217.0,1822978.0,2021,3/16/2021 16:50,41.66964727,-87.63803077,"(41.669647271, -87.638030767)"
6102,9123,12273550,JE117453,1/19/2021 12:00,030XX N CLARK ST,560,ASSAULT,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1934,19,44.0,6,08A,1170688.0,1920297.0,2021,1/26/2021 15:51,41.93677841,-87.64810693,"(41.936778413, -87.648106932)"
12926,18801,12292393,JE140190,2/12/2021 18:58,0000X W 87TH ST,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,634,6,21.0,44,04B,1176822.0,1847277.0,2021,2/19/2021 15:48,41.73626912,-87.62776824,"(41.736269116, -87.627768243)"
5397,8070,12272300,JE115342,1/17/2021 10:45,116XX S CHURCH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,False,True,2212,22,34.0,75,08B,1165226.0,1827258.0,2021,1/24/2021 15:47,41.68158672,-87.67081632,"(41.68158672, -87.670816322)"
2510,3772,12262664,JE104768,1/6/2021 9:30,0000X E ROOSEVELT RD,460,BATTERY,SIMPLE,DEPARTMENT STORE,False,False,123,1,4.0,32,08B,1176576.0,1895067.0,2021,1/16/2021 15:49,41.86741494,-87.62723119,"(41.867414944, -87.627231186)"
21263,30845,12309657,JE162233,3/7/2021 21:00,027XX W 24TH PL,1320,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,False,False,1034,10,12.0,30,14,1158657.0,1887627.0,2021,3/14/2021 16:50,41.84738442,-87.69321814,"(41.847384418, -87.693218135)"
16284,23619,12299988,JE150418,2/22/2021 20:30,040XX N HARLEM AVE,820,THEFT,$500 AND UNDER,SIDEWALK,False,False,1632,16,38.0,17,6,1127343.0,1925917.0,2021,3/1/2021 15:46,41.95304056,-87.8072811,"(41.953040556, -87.807281099)"
15238,22129,12295747,JE145217,2/18/2021 18:35,002XX S HAMLIN BLVD,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,False,False,1122,11,28.0,26,04A,1151106.0,1898640.0,2021,2/25/2021 15:51,41.87775648,-87.7206421,"(41.877756484, -87.720642095)"
32228,46931,12335728,JE193985,4/8/2021 23:30,017XX W 71ST ST,497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,RESIDENCE,False,True,735,7,17.0,67,04B,1165776.0,1857609.0,2021,4/15/2021 17:38,41.76486297,-87.66794427,"(41.764862971, -87.66794427)"
17443,25277,12302583,JE151655,2/25/2021 8:00,081XX S MARSHFIELD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,614,6,21.0,71,08B,1166758.0,1850730.0,2021,3/4/2021 15:52,41.74596514,-87.66454096,"(41.745965142, -87.664540959)"
3743,5653,12268254,JE111256,1/13/2021 2:25,071XX S EMERALD AVE,460,BATTERY,SIMPLE,SIDEWALK,False,False,732,7,6.0,68,08B,1172585.0,1857297.0,2021,1/20/2021 15:53,41.76385956,-87.64299657,"(41.763859555, -87.642996566)"
8977,13185,12283435,JE129475,1/16/2021 9:00,107XX S HALE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,2212,22,19.0,75,11,1165694.0,1833170.0,2021,2/3/2021 15:55,41.69780038,-87.66893627,"(41.697800378, -87.668936265)"
21705,31531,12310960,JE163593,3/9/2021 10:04,064XX S PEORIA ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,723,7,16.0,68,08B,1171414.0,1862115.0,2021,3/16/2021 16:52,41.77710644,-87.64714765,"(41.77710644, -87.647147647)"
3707,5602,12269913,JE112450,1/13/2021 3:35,031XX W FULLERTON AVE,560,ASSAULT,SIMPLE,APARTMENT,False,True,1414,14,32.0,22,08A,1155051.0,1915788.0,2021,1/20/2021 15:53,41.92473396,-87.70569633,"(41.924733961, -87.70569633)"
17011,24662,12301563,JE150541,2/24/2021 3:00,004XX N ASHLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1215,12,27.0,24,14,1165658.0,1902897.0,2021,3/3/2021 15:47,41.88914054,-87.6670895,"(41.889140535, -87.667089497)"
